paper,expset_accession,condition,dataset_label,biosource,biosample_type,biosample_category,tissue,treatments_summary,modifications_summary,assay_target,imaging_rounds,num_bio_reps,bio_rep_idx,trace_core_file_accession,trace_core_url,all_fofct_types
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESFYAXQ29,widefield microscope,Multiplexed FISH of MYC locus in K562,K562,immortalized cells,immortalized cell line,K562,None,None,multiplexed FISH,3,1,1,4DNFIJ7W6T8H,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/5744b821-9b6a-47d7-b87c-71f990e08736/4DNFIJ7W6T8H.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESHGEXAOL,customscope microscope,Multiplexed FISH of MYC locus in K562,K562,immortalized cells,immortalized cell line,K562,None,None,multiplexed FISH,3,1,1,4DNFIXZ8ZO5B,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/498e2878-68ef-4f08-a822-2499d503fdff/4DNFIXZ8ZO5B.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESYYKWEGP,rTetR-DNMT3B with doxycyline treatment for 5 days + 22 day washout,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-DNMT3B,multiplexed FISH,3,3,1,4DNFIX11DLRF,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d7a029b5-5317-455b-9206-ec6c7088cfe0/4DNFIX11DLRF.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESYYKWEGP,rTetR-DNMT3B with doxycyline treatment for 5 days + 22 day washout,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-DNMT3B,multiplexed FISH,3,3,2,4DNFIATSKHUH,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8e5548a1-9141-49a8-a8a1-bd49825ba050/4DNFIATSKHUH.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESYYKWEGP,rTetR-DNMT3B with doxycyline treatment for 5 days + 22 day washout,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-DNMT3B,multiplexed FISH,3,3,3,4DNFIV1RLOG5,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/361d7d48-31cb-468a-8453-3ef45a40a739/4DNFIV1RLOG5.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESBJAGS3L,"rTetR-DNMT3B, control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-DNMT3B,multiplexed FISH,3,3,1,4DNFIHMEK36I,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/76ab0cd7-3341-4f18-abcc-f0ede1da1858/4DNFIHMEK36I.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESBJAGS3L,"rTetR-DNMT3B, control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-DNMT3B,multiplexed FISH,3,3,2,4DNFIYMBD4MG,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/c0ba43d3-2a75-43b7-9e44-5d4c7f6944f3/4DNFIYMBD4MG.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNESBJAGS3L,"rTetR-DNMT3B, control",Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,None,Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-DNMT3B,multiplexed FISH,3,3,3,4DNFIN2VLJYE,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/9891d33a-1faa-4728-96f5-49427aa92d1f/4DNFIN2VLJYE.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES6V1ADE6,rTetR-HDAC4 with doxycyline treatment for 5 days,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,3,1,4DNFIZDZQJIJ,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/be4064db-6651-4609-94e4-e2ff2a3a698f/4DNFIZDZQJIJ.csv,FOF-CT - DNA-spot/trace core (csv)
Fujimori_2023_doi_10.1101_2023.10.03.560616,4DNES6V1ADE6,rTetR-HDAC4 with doxycyline treatment for 5 days,Multiplexed FISH of AAVS1 locus in HEK293T,293T,immortalized cells,immortalized cell line,293T,"doxycycline treatment (1.0 μg/mL, 5.0d)",Viral transduction insertion of reporter construct integrated into AAVS1 safe harbor site on chr19 and Stable transfection for expression of rTetR-HDAC4,multiplexed FISH,3,3,2,4DNFI5RL7D23,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a779dfc9-0a4d-4ec8-bed0-b3b246cc7d78/4DNFI5RL7D23.csv,FOF-CT - DNA-spot/trace core (csv)
