paper,expset_accession,condition,dataset_label,biosource,biosample_type,biosample_category,tissue,treatments_summary,modifications_summary,assay_target,imaging_rounds,num_bio_reps,bio_rep_idx,trace_core_file_accession,trace_core_url,all_fofct_types,readout_resolution,region_size,cell_type_detail,treatment_detail
Llimos_2022_PMID35440565,4DNESYNKYXQN,homozygous mutant (indel in chr17),Multiplexed FISH in lymphoblastoid cell line,B-lymphocyte,primary cells,primary cell,B-lymphocyte,None,None,multiplexed FISH,2,2,1,4DNFIG51R1QG,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/7db09138-6467-437a-8f35-4ac974fb195b/4DNFIG51R1QG.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot quality (csv) | FOF-CT - trace data (csv),8 kb,chr17:63486119-63686118 (~200 kb),B-lymphocyte,None
Llimos_2022_PMID35440565,4DNESYNKYXQN,homozygous mutant (indel in chr17),Multiplexed FISH in lymphoblastoid cell line,B-lymphocyte,primary cells,primary cell,B-lymphocyte,None,None,multiplexed FISH,2,2,2,4DNFIIHHT16W,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1d4060c1-13ef-4088-a3b5-40b90c048963/4DNFIIHHT16W.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot quality (csv) | FOF-CT - trace data (csv),8 kb,chr17:63486119-63686118 (~200 kb),B-lymphocyte,None
Llimos_2022_PMID35440565,4DNESFAJCG4W,homozygous reference,Multiplexed FISH in lymphoblastoid cell line,B-lymphocyte,primary cells,primary cell,B-lymphocyte,None,None,multiplexed FISH,2,2,1,4DNFIZ37CGLR,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/e1e963ad-5af5-4d7b-ab25-ddece8f531dd/4DNFIZ37CGLR.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot quality (csv) | FOF-CT - trace data (csv),8 kb,chr17:63486119-63686118 (~200 kb),B-lymphocyte,None
Llimos_2022_PMID35440565,4DNESFAJCG4W,homozygous reference,Multiplexed FISH in lymphoblastoid cell line,B-lymphocyte,primary cells,primary cell,B-lymphocyte,None,None,multiplexed FISH,2,2,2,4DNFIXSTIVTW,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/e898080d-3e8c-4f87-bd54-fd98e6e1d209/4DNFIXSTIVTW.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - spot quality (csv) | FOF-CT - trace data (csv),8 kb,chr17:63486119-63686118 (~200 kb),B-lymphocyte,None
Cheng_2023_PMID36778402,4DNESB7SZY5Q,sgNon-Targeting Control (for shCHD7),Multiplexed FISH in neural crest cells on Chr22,H1-hESC,in vitro differentiated cells,stem cell derived cell line,H1-hESC,None,Viral Transduction,multiplexed FISH,5,1,1,4DNFIOXTQT5K,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/1f1368ae-e7d9-4a9d-b9d7-a8e731aba8a8/4DNFIOXTQT5K.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level,Chr22 (27 TADs),H1-hESC differentiated to neural progenitor cell,None
Cheng_2023_PMID36778402,4DNESHA7AS6L,shCHD7 targeted knocked-down,Multiplexed FISH in neural crest cells on Chr22,H1-hESC,in vitro differentiated cells,stem cell derived cell line,H1-hESC,None,Viral Transduction disruption for CHD7 gene,multiplexed FISH,5,1,1,4DNFIRX951K7,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d5010cb8-1876-44c2-b5d8-3662a1992f58/4DNFIRX951K7.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level,Chr22 (27 TADs),H1-hESC differentiated to neural progenitor cell,None
Cheng_2023_PMID36778402,4DNESIUBFH6Q,sgNon-Targeting Control (for siCHD7),Multiplexed FISH in RPE1 on Chr21,RPE-hTERT,immortalized cells,immortalized cell line,RPE-hTERT,None,Viral Transduction deletion for CHD7 gene,multiplexed FISH,5,1,1,4DNFIPKU7685,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/fa7c67ea-6bdb-4781-b46a-9d298c8d99d0/4DNFIPKU7685.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level,Chr21 (34 TADs),RPE-hTERT (Tier 2),None
Cheng_2023_PMID36778402,4DNES94LRC75,siCHD7 targeted knocked-down,Multiplexed FISH in RPE1 on Chr21,RPE-hTERT,immortalized cells,immortalized cell line,RPE-hTERT,None,Viral Transduction,multiplexed FISH,5,1,1,4DNFI7A349T7,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/0f45a6d2-7ade-4244-821f-2b1fad281e0e/4DNFI7A349T7.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level,Chr21 (34 TADs),RPE-hTERT (Tier 2),None
Cheng_2023_PMID36778402,4DNES6W6XBUJ,sgNon-Targeting Control (for siCHD7),Multiplexed FISH in RPE1 on Chr22,RPE-hTERT,immortalized cells,immortalized cell line,RPE-hTERT,None,Viral Transduction deletion for CHD7 gene,multiplexed FISH,5,1,1,4DNFIU5R9JMY,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/6ae6f500-635e-4778-8342-297860a56074/4DNFIU5R9JMY.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level,Chr22 (27 TADs),RPE-hTERT (Tier 2),None
Cheng_2023_PMID36778402,4DNESNGLW3S2,siCHD7 targeted knocked-down,Multiplexed FISH in RPE1 on Chr22,RPE-hTERT,immortalized cells,immortalized cell line,RPE-hTERT,None,Viral Transduction,multiplexed FISH,5,1,1,4DNFIHKOKF9M,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/e857e4fc-d220-423b-be7e-f12298b493e0/4DNFIHKOKF9M.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level,Chr22 (27 TADs),RPE-hTERT (Tier 2),None
