paper,expset_accession,condition,dataset_label,biosource,biosample_type,biosample_category,tissue,treatments_summary,modifications_summary,assay_target,imaging_rounds,num_bio_reps,bio_rep_idx,trace_core_file_accession,trace_core_url,all_fofct_types,readout_resolution,region_size,cell_type_detail,treatment_detail
Patterson_2023_PMID37540754,4DNESDSVRJBX,IMR90 mTeSR1,Chromatin tracing of chrX in IMR90,IMR-90,primary cells,primary cell line,IMR-90,None,None,multiplexed FISH,3,1,1,4DNFIBEV4KD4,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/67089e1c-449c-4d0f-a040-f6b388bfdc7d/4DNFIBEV4KD4.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),IMR-90,None
Patterson_2023_PMID37540754,4DNESCJ8M34U,IMR90 5iLAF,Chromatin tracing of chrX in IMR90,IMR-90,primary cells,primary cell line,IMR-90,None,None,multiplexed FISH,3,1,1,4DNFITPOK7NS,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a631b449-76c1-4307-939a-5d343c2c79f2/4DNFITPOK7NS.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),IMR-90,None
Patterson_2023_PMID37540754,4DNESA6RWUVI,IMR90 5iLA,Chromatin tracing of chrX in IMR90,IMR-90,primary cells,primary cell line,IMR-90,None,None,multiplexed FISH,3,1,1,4DNFIWMCVMHB,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/5a14c7ba-4e8b-48e2-a8c4-8571ed0385ba/4DNFIWMCVMHB.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),IMR-90,None
Patterson_2023_PMID37540754,4DNESQFTK11H,HES3 mTeSR1,Chromatin tracing of chrX in HES3,HES-3,stem cells,stem cell derived cell line,HES-3,None,None,multiplexed FISH,3,1,1,4DNFIWUTKVNZ,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/728b476c-465e-4372-9cd3-6beac7572e54/4DNFIWUTKVNZ.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),HES-3,None
Patterson_2023_PMID37540754,4DNESWLIGBX4,HES3 5iLAF,Chromatin tracing of chrX in HES3,HES-3,stem cells,stem cell derived cell line,HES-3,None,None,multiplexed FISH,3,1,1,4DNFIS87I2KW,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8ff1114e-672a-44dd-8075-d40693583a33/4DNFIS87I2KW.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),HES-3,None
Patterson_2023_PMID37540754,4DNESCTENQBB,HES3 5iLA,Chromatin tracing of chrX in HES3,HES-3,stem cells,stem cell derived cell line,HES-3,None,None,multiplexed FISH,3,1,1,4DNFIZZPDMP6,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/83c050ab-33c3-4b44-a5a5-15ea9bb41fc0/4DNFIZZPDMP6.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),HES-3,None
Patterson_2023_PMID37540754,4DNES5ZXOL2B,HES3 4iLAF+tMEKi,Chromatin tracing of chrX in HES3,HES-3,stem cells,stem cell derived cell line,HES-3,None,None,multiplexed FISH,3,1,1,4DNFIA9483JQ,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/39190326-187d-47df-9293-d0bb8f7d4763/4DNFIA9483JQ.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),HES-3,None
Patterson_2023_PMID37540754,4DNESKP8EO7E,H9 mTeSR1,Chromatin tracing of chrX in H9,H9,stem cells,stem cell derived cell line,H9,None,None,multiplexed FISH,3,1,1,4DNFI8ZHV5WT,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/fbb63041-a3a8-4be9-acad-9c3e87777901/4DNFI8ZHV5WT.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),H9,None
Patterson_2023_PMID37540754,4DNESPADIUQ8,"H9 combined conditions, XIST positive chromosome",Chromatin tracing of chrX in H9,H9,stem cells,stem cell derived cell line,H9,None,None,multiplexed FISH,4,1,1,4DNFIPNWMI3V,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/5e5b6792-ce5e-43ad-aaec-d3b2bc0b8f1e/4DNFIPNWMI3V.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),H9,None
Patterson_2023_PMID37540754,4DNES7BT3MHL,"H9 combined conditions, XIST negative chromosome",Chromatin tracing of chrX in H9,H9,stem cells,stem cell derived cell line,H9,None,None,multiplexed FISH,4,1,1,4DNFIS1A4W5L,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/6e5c2074-5795-4eba-98e9-26458e3c834f/4DNFIS1A4W5L.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),H9,None
Patterson_2023_PMID37540754,4DNES9551WCX,H9 5iLAF,Chromatin tracing of chrX in H9,H9,stem cells,stem cell derived cell line,H9,None,None,multiplexed FISH,3,1,1,4DNFIRR841TB,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/20869164-678b-48d4-888e-72f286581139/4DNFIRR841TB.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),H9,None
Patterson_2023_PMID37540754,4DNESYMNKD6G,H9 5iLA,Chromatin tracing of chrX in H9,H9,stem cells,stem cell derived cell line,H9,None,None,multiplexed FISH,3,1,1,4DNFI4Q9G8H8,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/e987f972-00a6-4920-af38-8c5415ce6dfe/4DNFI4Q9G8H8.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),H9,None
Patterson_2023_PMID37540754,4DNESL23Q1IG,"H9 5iLA ATRX, positive chromosomes",Chromatin tracing of chrX in H9,H9,stem cells,stem cell derived cell line,H9,None,None,multiplexed FISH,4,1,1,4DNFILJZMGCP,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/76a55fd4-f2a2-47ad-9b6a-9aaaba81ae95/4DNFILJZMGCP.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),H9,None
Patterson_2023_PMID37540754,4DNESXANJGRL,"H9 5iLA ATRX, negative chromosomes",Chromatin tracing of chrX in H9,H9,stem cells,stem cell derived cell line,H9,None,None,multiplexed FISH,4,1,1,4DNFIA1SBU13,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/6653728c-b1f3-43c4-9c63-e18c8bf03bc7/4DNFIA1SBU13.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),H9,None
Patterson_2023_PMID37540754,4DNES8DN67K9,H9 4iLAF+tMEKi,Chromatin tracing of chrX in H9,H9,stem cells,stem cell derived cell line,H9,None,None,multiplexed FISH,3,1,1,4DNFIN9H6BS5,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b5f8d3b4-63fa-4dd2-bb35-c0dc7aa3d780/4DNFIN9H6BS5.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),H9,None
Patterson_2023_PMID37540754,4DNESSFIJDGY,H7 day6 XIST positive chromosomes,Chromatin tracing of chrX in H7,H7-hESC,stem cells,stem cell derived cell line,H7-hESC,None,None,multiplexed FISH,4,1,1,4DNFIJVQ29FA,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b238fa2e-d176-46f8-9e5f-0e58019170d2/4DNFIJVQ29FA.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),H9,None
Patterson_2023_PMID37540754,4DNESELH11OV,H7 day6 XIST negative chromosomes,Chromatin tracing of chrX in H7,H7-hESC,stem cells,stem cell derived cell line,H7-hESC,None,None,multiplexed FISH,4,1,1,4DNFIG64M7CW,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/d9f702b9-5c99-4f1e-8a54-7baba54b8347/4DNFIG64M7CW.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),H9,None
Patterson_2023_PMID37540754,4DNESA93WQSO,H7 day4 XIST positive chromosomes,Chromatin tracing of chrX in H7,H7-hESC,stem cells,stem cell derived cell line,H7-hESC,None,None,multiplexed FISH,4,1,1,4DNFI3JTGDYH,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/3390f0f3-c5a0-480a-a670-6c2c5de9fb29/4DNFI3JTGDYH.csv,FOF-CT - DNA-spot/trace core (csv),TAD-level (~100 kb per TAD),chrX (40 TADs),H7-hESC,None
