paper,expset_accession,condition,dataset_label,biosource,biosample_type,biosample_category,tissue,treatments_summary,modifications_summary,assay_target,imaging_rounds,num_bio_reps,bio_rep_idx,trace_core_file_accession,trace_core_url,all_fofct_types
Bintu_2018_PMID30361340,4DNESABVQJTS,Chr21:34-37 Mb in HCT116 cells cohesin-depleted after cell division,Chromatin tracing of 2-Mb on chr21,HCT116,immortalized cells,immortalized cell line,HCT116,"IAA treatment (500.0 μM, 6.0h)",None,multiplexed FISH,5,1,1,4DNFIZNK1QQA,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/360bda65-0a9d-490a-8125-5f69e79a2a57/4DNFIZNK1QQA.csv,FOF-CT - DNA-spot/trace core (csv)
Bintu_2018_PMID30361340,4DNES67C81FH,Chr21:34-37 Mb in HCT116 cells cohesin-depleted,Chromatin tracing of 2-Mb on chr21,HCT116,immortalized cells,immortalized cell line,HCT116,"IAA treatment (500.0 μM, 6.0h)",None,multiplexed FISH,3,1,1,4DNFIHZRN68I,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/c50fb7e4-bc59-4a3a-bceb-69589049650b/4DNFIHZRN68I.csv,FOF-CT - DNA-spot/trace core (csv)
Bintu_2018_PMID30361340,4DNES4AGJSQY,Chr21:34-37 Mb in HCT116 cells,Chromatin tracing of 2-Mb on chr21,HCT116,immortalized cells,immortalized cell line,HCT116,None,None,multiplexed FISH,3,1,1,4DNFI6IEQ7MU,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/0fe56a6e-45d8-4796-9188-e769ed04992a/4DNFI6IEQ7MU.csv,FOF-CT - DNA-spot/trace core (csv)
Bintu_2018_PMID30361340,4DNESGAO6AWG,Chr21:28-30 Mb in HCT116 cells cohesin-depleted,Chromatin tracing of 2-Mb on chr21,HCT116,immortalized cells,immortalized cell line,HCT116,"IAA treatment (500.0 μM, 6.0h)",None,multiplexed FISH,3,1,1,4DNFIZBE2Z7G,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/94b6bdee-d4ed-4457-b904-8ae9af72c6e9/4DNFIZBE2Z7G.csv,FOF-CT - DNA-spot/trace core (csv)
Bintu_2018_PMID30361340,4DNES6ZQ6SWJ,Chr21:28-30 Mb in HCT116 cells,Chromatin tracing of 2-Mb on chr21,HCT116,immortalized cells,immortalized cell line,HCT116,None,None,multiplexed FISH,3,1,1,4DNFIUZ94OQ5,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/b5afc664-6120-4cb0-9e5a-c4dc06647fdf/4DNFIUZ94OQ5.csv,FOF-CT - DNA-spot/trace core (csv)
Bintu_2018_PMID30361340,4DNESL619Z5V,Chr21:28-30 Mb in A549 cells,Chromatin tracing of 2-Mb on chr21,A549,immortalized cells,immortalized cell line,A549,None,None,multiplexed FISH,3,1,1,4DNFIGLYJRQJ,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/0593b358-23b4-4320-ad7e-e8c26783f612/4DNFIGLYJRQJ.csv,FOF-CT - DNA-spot/trace core (csv)
Bintu_2018_PMID30361340,4DNEST5FUQKC,Chr21:28-30 Mb in K562 cells,Chromatin tracing of 2-Mb on chr21,K562,immortalized cells,immortalized cell line,K562,None,None,multiplexed FISH,2,1,1,4DNFIQCXMBU1,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/41e3adad-8bfa-4715-a049-8882065f30ac/4DNFIQCXMBU1.csv,FOF-CT - DNA-spot/trace core (csv)
Bintu_2018_PMID30361340,4DNESSXNNJUB,Chr21:28-30 Mb in IMR90 cells across cell cycle,Chromatin tracing of 2-Mb on chr21,IMR-90,primary cells,primary cell line,IMR-90,None,None,multiplexed FISH,5,1,1,4DNFIORVNYGB,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/135a2d39-6352-4a92-8e9b-dd5d9548ff0b/4DNFIORVNYGB.csv,FOF-CT - DNA-spot/trace core (csv) | FOF-CT - trace data (csv)
Bintu_2018_PMID30361340,4DNES4XDIR9E,Chr21:28-30 Mb in IMR90 cells,Chromatin tracing of 2-Mb on chr21,IMR-90,primary cells,primary cell line,IMR-90,None,None,multiplexed FISH,3,1,1,4DNFI11HTWVQ,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8bdba778-31c5-4cd7-a616-b8c63fd6b954/4DNFI11HTWVQ.csv,FOF-CT - DNA-spot/trace core (csv)
Bintu_2018_PMID30361340,4DNES97DWLA6,Chr21:18-20 Mb (no TADs) in IMR90 cells,Chromatin tracing of 2-Mb on chr21,IMR-90,primary cells,primary cell line,IMR-90,None,None,multiplexed FISH,3,1,1,4DNFII2E9PV7,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/729fd2b6-d927-499e-a2bd-ff82c32a4eed/4DNFII2E9PV7.csv,FOF-CT - DNA-spot/trace core (csv)
